DATE,Hour,Time Slot,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,MCP (Rs/MWh) *
01-03-2021,16,15:00 - 15:15,11239.7,12467.9,9842.9,10021.9,3100.33,3101.33
01-03-2021,16,15:15 - 15:30,11744.6,12399.4,10067.4,10233.1,3200.68,3201.68
01-03-2021,16,15:30 - 15:45,12285.3,12297.4,10516.2,10621.2,3429.3,3430.3
01-03-2021,16,15:45 - 16:00,12693.3,12271.2,10846.8,10690.3,3500.67,3501.67
01-03-2021,17,16:00 - 16:15,13094.4,12264.1,10989.5,10816.8,3650.85,3651.85
01-03-2021,17,16:15 - 16:30,13303.9,12191.4,10939.9,11066.78,3822.69,3823.69
01-03-2021,17,16:30 - 16:45,13214.5,12118.7,11029.5,11003.06,4362.12,4363.12
01-03-2021,17,16:45 - 17:00,12877.9,11593.1,10674.8,10578.4,4362.83,4363.83
01-03-2021,18,17:00 - 17:15,12160.1,11549.5,10253.3,10475.1,3779.63,3780.63
01-03-2021,18,17:15 - 17:30,11930.2,10978.8,9723.13,9904.4,4000.58,4001.58
01-03-2021,18,17:30 - 17:45,11734.5,10404.1,9452.4,9527.8,4362.41,4363.41
01-03-2021,18,17:45 - 18:00,12073.7,9360,8816.8,9038.6,6000.9,6001.9
01-03-2021,19,18:00 - 18:15,10698,8812.2,8071,8321,5250.99,5251.99
01-03-2021,19,18:15 - 18:30,10568,8436.8,7676.8,7785.6,5729.57,5730.57
01-03-2021,19,18:30 - 18:45,11088.1,8192.8,7685.8,7805.8,7000.42,7001.42
01-03-2021,19,18:45 - 19:00,11284,7898.1,7391.1,7641.1,7869.05,7870.05
01-03-2021,20,19:00 - 19:15,11769.5,8005.9,7498.9,7748.9,7901.41,7902.41
01-03-2021,20,19:15 - 19:30,11310.5,8180.9,7673.9,7863.9,7000.01,7001.01
01-03-2021,20,19:30 - 19:45,10857,8389.4,7664.32,7841.8,6469.12,6470.12
01-03-2021,20,19:45 - 20:00,10307.6,8605.9,7401.67,7649.7,5469.02,5470.02
01-03-2021,21,20:00 - 20:15,9501.1,8075.3,7189.6,7435.2,5063.41,5064.41
01-03-2021,21,20:15 - 20:30,9229.5,7798.5,6913.5,7163.5,4800.26,4801.26
01-03-2021,21,20:30 - 20:45,9174.4,7725.5,6618.5,6868.5,4500.85,4501.85
01-03-2021,21,20:45 - 21:00,9156.3,7803.7,6796.7,7046.7,4500.39,4501.39
01-03-2021,22,21:00 - 21:15,8743.8,7364.8,6304,6439.39,4362.26,4363.26
01-03-2021,22,21:15 - 21:30,8228,7267.4,6141.07,6355.07,4165.47,4166.47
01-03-2021,22,21:30 - 21:45,7962.8,7351.6,6132.5,6284.2,4000.02,4001.02
01-03-2021,22,21:45 - 22:00,7993.2,7570.6,6313.8,6435.3,3822.93,3823.93
01-03-2021,23,22:00 - 22:15,7773.3,7760.1,5751.6,5782.9,3449.55,3450.55
01-03-2021,23,22:15 - 22:30,7769.8,7650.1,5637,5779.1,3509.42,3510.42
01-03-2021,23,22:30 - 22:45,7731.9,7942.3,5716.3,5747.6,3448.51,3449.51
01-03-2021,23,22:45 - 23:00,8220.2,8493.2,6202.5,6233.8,3565,3566
01-03-2021,24,23:00 - 23:15,8220.5,9176.5,6338.8,6436.9,3509.38,3510.38
01-03-2021,24,23:15 - 23:30,8503,9830.5,6715,6725.3,3442.96,3443.96
01-03-2021,24,23:30 - 23:45,8391.3,10343.7,6623.3,6626.5,3342.54,3343.54
01-03-2021,24,23:45 - 24:00,8527.6,10638.1,6753.4,6762.51,3408.64,3409.64
02-03-2021,1,00:00 - 00:15,8837.4,10001.7,6350,6350,3200.73,3201.73
02-03-2021,1,00:15 - 00:30,8942.7,11089.2,6525.5,6525.5,3200.56,3201.56
02-03-2021,1,00:30 - 00:45,8902.6,12067.2,6579,6575.6,3113.67,3114.67
02-03-2021,1,00:45 - 01:00,8920.3,12446.2,6596.8,6593.4,3113.04,3114.04
02-03-2021,2,01:00 - 01:15,8655.8,13139,6785.2,6785.2,3111.06,3112.06
02-03-2021,2,01:15 - 01:30,8763.3,13564,6937.2,6936.3,3100.07,3101.07
02-03-2021,2,01:30 - 01:45,8698.1,13859,6759.69,6756.29,3027.03,3028.03
02-03-2021,2,01:45 - 02:00,8603.1,14145,6781.7,6778.3,2953.34,2954.34
02-03-2021,3,02:00 - 02:15,8664.4,15204.4,6814.1,6810.7,2947.39,2948.39
02-03-2021,3,02:15 - 02:30,8688.1,15551.4,6877.2,6873.8,2883.76,2884.76
02-03-2021,3,02:30 - 02:45,8604.8,15573.4,6815.6,6812.2,2829.38,2830.38
02-03-2021,3,02:45 - 03:00,8548.2,15630.4,6787.09,6783.99,2800.44,2801.44
02-03-2021,4,03:00 - 03:15,8720.4,15290.3,6776.8,6773.4,2829.15,2830.15
02-03-2021,4,03:15 - 03:30,8828.4,15210.3,6923.4,6920,2849.79,2850.79
02-03-2021,4,03:30 - 03:45,8860.5,15013.3,6955.4,6952,2849.09,2850.09
02-03-2021,4,03:45 - 04:00,8798,15227.3,6917.78,6914.66,2800.61,2801.61
02-03-2021,5,04:00 - 04:15,8914,15471,7003.97,6999.1,2800.01,2801.01
02-03-2021,5,04:15 - 04:30,9285.6,14954.9,7280.1,7275.1,2947.38,2948.38
02-03-2021,5,04:30 - 04:45,9304.1,14384.1,7300.1,7295.1,2953.19,2954.19
02-03-2021,5,04:45 - 05:00,9543.1,13700,7325.3,7396,3027.75,3028.75
02-03-2021,6,05:00 - 05:15,9773,13231.2,7769,7747.6,3113.49,3114.49
02-03-2021,6,05:15 - 05:30,10107.9,12400.2,7769.7,7674.9,3200.72,3201.72
02-03-2021,6,05:30 - 05:45,10139.1,11769.1,7613.7,7604.39,3294.22,3295.22
02-03-2021,6,05:45 - 06:00,10322,11469.1,7782.8,7879.39,3294.21,3295.21
02-03-2021,7,06:00 - 06:15,11297.7,11873.5,9592.6,9098.83,3448.65,3449.65
02-03-2021,7,06:15 - 06:30,12789.1,11702,9601.7,9653.99,3800.39,3801.39
02-03-2021,7,06:30 - 06:45,12886.4,11512.8,9510,9577.2,3700.93,3701.93
02-03-2021,7,06:45 - 07:00,13165.6,11289.3,9586.32,9801.23,4000.95,4001.95
02-03-2021,8,07:00 - 07:15,13782.2,11756.6,10109.22,10288.66,4081,4082
02-03-2021,8,07:15 - 07:30,14128.4,12234.2,10617.22,10723.62,4100.86,4101.86
02-03-2021,8,07:30 - 07:45,13094.6,12366.1,11308.8,10074.13,4413.78,4414.78
02-03-2021,8,07:45 - 08:00,12946.1,12533.1,11190.7,10106.03,4389.91,4390.91
02-03-2021,9,08:00 - 08:15,12449.4,12754.1,10971.3,9735.03,3999.66,4000.66
02-03-2021,9,08:15 - 08:30,11962,12157.7,10409.85,9525.43,4010.61,4011.61
02-03-2021,9,08:30 - 08:45,11490.3,12098,9972.9,9376.34,3999.33,4000.33
02-03-2021,9,08:45 - 09:00,11155.6,11784,9676.9,9428.9,3999.5,4000.5
02-03-2021,10,09:00 - 09:15,10628.6,11071.1,8915,8860.4,3769.02,3770.02
02-03-2021,10,09:15 - 09:30,10600.1,10472.2,8695.15,8535.3,4000.64,4001.64
02-03-2021,10,09:30 - 09:45,10586,10119.5,8481.3,8445.4,4389.9,4390.9
02-03-2021,10,09:45 - 10:00,10368.6,9655.4,8222.3,8187.5,4413.51,4414.51
02-03-2021,11,10:00 - 10:15,10067.9,9640.1,7917.7,7917.2,4389.17,4390.17
02-03-2021,11,10:15 - 10:30,9915.7,9743.5,7806.1,7805.6,3999.67,4000.67
02-03-2021,11,10:30 - 10:45,9635.5,9378.4,7757.9,7746,3545.57,3546.57
02-03-2021,11,10:45 - 11:00,9093.8,9157.7,7326.8,7326.3,3429.09,3430.09
02-03-2021,12,11:00 - 11:15,8842.5,9076,7414.3,7407.07,3449.36,3450.36
02-03-2021,12,11:15 - 11:30,8686.3,9191.7,7261.7,7259.1,3408.4,3409.4
02-03-2021,12,11:30 - 11:45,9074.5,9630.8,7628.9,7598.9,3500.06,3501.06
02-03-2021,12,11:45 - 12:00,9546.3,9908.6,8010.8,8008.2,3529.12,3530.12
02-03-2021,13,12:00 - 12:15,10060,10657.2,8356.5,8326.5,3333.44,3334.44
02-03-2021,13,12:15 - 12:30,10029.5,11276.9,8459.87,8457.27,3305.09,3306.09
02-03-2021,13,12:30 - 12:45,9663.6,11531.5,8215.5,8212.88,3136.43,3137.43
02-03-2021,13,12:45 - 13:00,9573.6,12235.4,8226.97,8224.36,3113.57,3114.57
02-03-2021,14,13:00 - 13:15,9251.4,13205.9,8492.52,8489.92,2947.66,2948.66
02-03-2021,14,13:15 - 13:30,9340.5,13888.1,8769.2,8766.6,2699.59,2700.59
02-03-2021,14,13:30 - 13:45,9419.7,14044.3,8851.86,8849.26,2621.98,2622.98
02-03-2021,14,13:45 - 14:00,9601.2,14148.6,9033.37,9030.77,2621.74,2622.74
02-03-2021,15,14:00 - 14:15,10250.9,13735.4,9599.96,9597.36,2749.48,2750.48
02-03-2021,15,14:15 - 14:30,10867,13723.5,10048.23,10045.63,2899.37,2900.37
